,회사명,종목코드,업종,상장일,최근일 거래량
577,KC산업,112190,"시멘트, 석회, 플라스터 및 그 제품 제조업",2016-05-31,1982.0
578,SGA임베디드,224880,소프트웨어 개발 및 공급업,2017-05-23,0.0
579,구스앤홈,329050,직물직조 및 직물제품 제조업,2019-07-12,0.0
580,나라소프트,288490,소프트웨어 개발 및 공급업,2018-11-23,230937.0
581,노드메이슨,317860,기타 화학제품 제조업,2019-12-06,215.0
582,노브메타파마,229500,자연과학 및 공학 연구개발업,2015-10-28,4839.0
583,다이노나,086080,자연과학 및 공학 연구개발업,2018-05-08,10912.0
584,다이오진,271850,자연과학 및 공학 연구개발업,2017-06-19,12844.0
585,대주이엔티,114920,1차 철강 제조업,2013-07-01,900.0
586,듀켐바이오,176750,의약품 제조업,2014-12-29,3351.0
587,디피코,163430,"건축기술, 엔지니어링 및 관련 기술 서비스업",2018-05-16,1624.0
588,래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",2014-12-24,2217.0
589,로보쓰리,238500,"그외 기타 전문, 과학 및 기술 서비스업",2016-04-20,35895.0
590,비플라이소프트,148780,소프트웨어 개발 및 공급업,2016-11-16,4.0
591,썬테크,217320,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2015-04-29,0.0
592,에이치엔에스하이텍,044990,전자부품 제조업,2015-12-10,1227.0
593,오션스톤,329020,음·식료품 및 담배 도매업,2020-05-07,166.0
594,이노벡스,279060,전자부품 제조업,2019-04-12,1477.0
595,테크엔,308700,전구 및 조명장치 제조업,2018-12-21,0.0
596,테크트랜스,258050,기타 금속 가공제품 제조업,2018-07-13,21690.0
597,티케이씨,191600,전자부품 제조업,2016-08-05,343.0
598,틸론,217880,소프트웨어 개발 및 공급업,2015-05-28,212.0
599,플럼라인생명과학,222670,자연과학 및 공학 연구개발업,2015-07-28,2717.0
600,휴럼,284420,기타 식품 제조업,2017-12-12,209.0
601,AJ네트웍스,095570,산업용 기계 및 장비 임대업,2015-08-21,118179.0
602,CJ,001040,기타 금융업,1973-06-29,118210.0
603,CJ제일제당,097950,기타 식품 제조업,2007-09-28,178058.0
604,DRB동일,004840,기타 금융업,1976-05-21,200894.0
605,HDC아이콘트롤스,039570,전기 및 통신 공사업,2015-09-24,50547.0
606,KPX케미칼,025000,기초 화학물질 제조업,1994-12-27,7421.0
607,KTis,058860,기타 정보 서비스업,2010-12-17,223649.0
608,LG상사,001120,상품 중개업,1976-01-30,383441.0
609,MH에탄올,023150,알코올음료 제조업,1996-12-24,278901.0
610,SBS,034120,텔레비전 방송업,2003-06-25,286278.0
611,SBS미디어홀딩스,101060,텔레비전 방송업,2008-03-24,129423.0
612,SK텔레콤,017670,전기 통신업,1989-11-07,458426.0
613,강원랜드,035250,유원지 및 기타 오락관련 서비스업,2003-09-04,831893.0
614,고려개발,004200,토목 건설업,1978-10-30,46777.0
615,교보증권,030610,금융 지원 서비스업,2002-07-18,263070.0
616,국제약품,002720,의약품 제조업,1975-12-27,1158588.0
617,금양,001570,기초 화학물질 제조업,1976-12-17,1463901.0
618,금호에이치티,214330,자동차 신품 부품 제조업,2015-11-11,365078.0
619,남해화학,025860,"비료, 농약 및 살균, 살충제 제조업",1995-11-10,231142.0
620,넥센타이어,002350,고무제품 제조업,1976-05-19,491328.0
621,녹십자홀딩스,005250,회사 본부 및 경영 컨설팅 서비스업,1978-08-28,242849.0
622,농심홀딩스,072710,기타 금융업,2003-07-30,9481.0
623,다스코,058730,"구조용 금속제품, 탱크 및 증기발생기 제조업",2004-08-02,45551.0
624,대웅제약,069620,의약품 제조업,2002-11-01,347288.0
625,대한유화,006650,기초 화학물질 제조업,1999-08-11,69931.0
626,더존비즈온,012510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1988-10-28,275817.0
627,덕성,004830,플라스틱제품 제조업,1987-09-25,796702.0
628,동방아그로,007590,"비료, 농약 및 살균, 살충제 제조업",1977-06-29,17845.0
629,동서,026960,음·식료품 및 담배 도매업,2016-07-15,155721.0
630,동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업,2008-06-23,109916.0
631,동양,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업",1976-06-25,2889467.0
632,동양생명,082640,보험업,2009-10-08,188480.0
633,동원산업,006040,어로 어업,1989-03-07,7388.0
634,드림텍,192650,전자부품 제조업,2019-03-14,2277585.0
635,디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996-07-31,150599.0
636,디와이,013570,기타 금융업,1989-05-30,228415.0
637,디피씨,026890,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1997-11-25,2946748.0
638,롯데정밀화학,004000,기초 화학물질 제조업,1976-04-15,137889.0
639,롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-07-27,81810.0
640,맥쿼리인프라,088980,신탁업 및 집합투자업,2006-03-15,1268738.0
641,메타랩스,090370,봉제의복 제조업,2006-12-26,729755.0
642,명문제약,017180,의약품 제조업,2008-07-10,1938846.0
643,모토닉,009680,자동차 신품 부품 제조업,1994-01-14,68734.0
644,미원화학,134380,기타 화학제품 제조업,2011-02-15,1645.0
645,범양건영,002410,건물 건설업,1988-05-25,655942.0
646,베트남개발1,096300,신탁업 및 집합투자업,2007-06-13,288669.0
647,빙그레,005180,낙농제품 및 식용빙과류 제조업,1978-08-31,95303.0
648,삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2014-11-14,211958.0
649,삼성중공업,010140,선박 및 보트 건조업,1994-01-28,14154879.0
650,삼성증권,016360,금융 지원 서비스업,1988-03-28,726883.0
651,삼성카드,029780,기타 금융업,2007-06-27,327635.0
652,삼양통상,002170,"가죽, 가방 및 유사제품 제조업",1989-11-10,4641.0
653,삼영무역,002810,기타 전문 도매업,1988-03-28,29497.0
654,삼정펄프,009770,"펄프, 종이 및 판지 제조업",2006-10-17,1752.0
655,샘표식품,248170,기타 식품 제조업,2016-08-09,76783.0
656,서연이화,200880,자동차 신품 부품 제조업,2014-08-08,139953.0
657,성보화학,003080,"비료, 농약 및 살균, 살충제 제조업",1976-12-23,25567.0
658,세아제강,306200,1차 철강 제조업,2018-10-05,14075.0
659,센트랄모텍,308170,자동차 신품 부품 제조업,2019-11-25,278986.0
660,송원산업,004430,기타 화학제품 제조업,1977-06-25,320371.0
661,신성이엔지,011930,반도체 제조업,1996-07-31,8304537.0
662,신세계인터내셔날,031430,"섬유, 의복, 신발 및 가죽제품 소매업",2011-07-14,66705.0
663,신세계푸드,031440,음식점업,2010-04-29,34587.0
664,신영증권,001720,금융 지원 서비스업,1987-08-24,4933.0
665,신한,005450,건물 건설업,1978-07-28,0.0
666,신화실업,001770,1차 철강 제조업,1988-11-23,5847.0
667,쌍용자동차,003620,자동차용 엔진 및 자동차 제조업,1975-05-29,1833690.0
668,아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업",2013-11-06,12999.0
669,엔에이치엔,181710,소프트웨어 개발 및 공급업,2013-08-29,134322.0
670,유니켐,011330,"가죽, 가방 및 유사제품 제조업",1989-12-14,722329.0
671,유화증권,003460,금융 지원 서비스업,1987-08-24,23071.0
672,이구산업,025820,1차 비철금속 제조업,1995-08-18,376730.0
673,이월드,084680,유원지 및 기타 오락관련 서비스업,2005-07-26,1513358.0
674,일성신약,003120,의약품 제조업,1985-01-14,7697.0
675,제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",2016-02-04,49400.0
676,조비,001550,"비료, 농약 및 살균, 살충제 제조업",1976-12-28,61957.0
677,조선선재,120030,기타 금속 가공제품 제조업,2010-02-19,34186.0
678,종근당바이오,063160,의약품 제조업,2001-12-11,145425.0
679,진양화학,051630,플라스틱제품 제조업,2001-01-29,165504.0
680,청호컴넷,012600,일반 목적용 기계 제조업,1990-07-10,360650.0
681,케이탑리츠,145270,부동산 임대 및 공급업,2012-01-31,282986.0
682,코스모신소재,005070,기타 화학제품 제조업,1987-09-28,1322205.0
683,코웨이,021240,그외 기타 개인 서비스업,2001-08-07,290300.0
684,쿠쿠홈시스,284740,개인 및 가정용품 임대업,2018-01-11,206476.0
685,키위미디어그룹,012170,"영화, 비디오물, 방송프로그램 제작 및 배급업",1989-12-20,0.0
686,태평양물산,007980,봉제의복 제조업,1994-12-27,1390018.0
687,테이팩스,055490,플라스틱제품 제조업,2017-10-31,592951.0
688,텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2004-07-20,18643.0
689,팜스코,036580,"곡물가공품, 전분 및 전분제품 제조업",1999-10-25,234934.0
690,퍼시스,016800,가구 제조업,1996-12-24,7962.0
691,포스코케미칼,003670,"내화, 비내화 요업제품 제조업",2019-05-29,1178298.0
692,풍산홀딩스,005810,기타 금융업,1988-07-28,9253.0
693,하나니켈1호,099340,신탁업 및 집합투자업,2008-02-01,2047799.0
694,하이스틸,071090,1차 철강 제조업,2003-02-17,7958.0
695,한국석유공업,004090,기타 비금속 광물제품 제조업,1977-06-25,4480.0
696,한국수출포장공업,002200,"골판지, 종이 상자 및 종이용기 제조업",1974-06-28,7483.0
697,한국자산신탁,123890,신탁업 및 집합투자업,2016-07-13,784824.0
698,한국주강,025890,특수 목적용 기계 제조업,1997-07-18,34458.0
699,한국콜마홀딩스,024720,기타 금융업,2002-04-09,134376.0
700,한샘,009240,생활용품 도매업,2002-07-16,123544.0
701,한솔홀딩스,004150,기타 금융업,1972-05-17,153956.0
702,한신기계공업,011700,일반 목적용 기계 제조업,1987-07-24,359911.0
703,한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업",1987-05-27,474467.0
704,현대자동차,005380,자동차용 엔진 및 자동차 제조업,1974-06-28,1951497.0
705,효성 ITX,094280,기타 사업지원 서비스업,2007-10-25,165671.0
706,휴니드테크놀러지스,005870,통신 및 방송 장비 제조업,1991-09-03,396540.0
707,DB금융스팩7호,322780,금융 지원 서비스업,2019-05-31,0.0
708,IBKS제10호스팩,299170,금융 지원 서비스업,2018-09-21,0.0
709,JTC,950170,종합 소매업,2018-04-06,184201.0
710,KCC건설,021320,건물 건설업,2001-08-21,57171.0
711,KCI,036670,기타 화학제품 제조업,2001-01-03,147031.0
712,KG ETS,151860,폐기물 처리업,2013-07-24,646561.0
713,KMH,122450,텔레비전 방송업,2011-05-25,171478.0
714,NEW,160550,"영화, 비디오물, 방송프로그램 제작 및 배급업",2014-12-23,459220.0
715,SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업,2012-12-17,35717.0
716,SGA솔루션즈,184230,소프트웨어 개발 및 공급업,2013-12-20,951353.0
717,SM Life Design,063440,기록매체 복제업,2002-05-30,1157773.0
718,W홀딩컴퍼니,052300,기타 운송관련 서비스업,2001-08-02,3023626.0
719,교보9호스팩,331520,금융 지원 서비스업,2019-10-29,0.0
720,나노신소재,121600,기타 화학제품 제조업,2011-02-09,245905.0
721,나인테크,267320,특수 목적용 기계 제조업,2017-06-22,856200.0
722,넥슨지티,041140,소프트웨어 개발 및 공급업,2000-07-25,1410620.0
723,노터스,278650,자연과학 및 공학 연구개발업,2019-11-27,630786.0
724,녹원씨엔아이,065560,인쇄 및 인쇄관련 산업,2003-07-01,0.0
725,누리플랜,069140,"구조용 금속제품, 탱크 및 증기발생기 제조업",2010-10-26,35301.0
726,뉴프라이드,900100,자동차 부품 및 내장품 판매업,2010-04-21,0.0
727,다산네트웍스,039560,통신 및 방송 장비 제조업,2000-06-22,1394504.0
728,다원시스,068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2010-09-14,708737.0
729,대원산업,005710,자동차 신품 부품 제조업,1993-06-21,100684.0
730,대유,290380,"비료, 농약 및 살균, 살충제 제조업",2018-08-10,103884.0
731,덕신하우징,090410,"구조용 금속제품, 탱크 및 증기발생기 제조업",2014-08-01,904134.0
732,데일리블록체인,139050,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2011-07-29,698172.0
733,동신건설,025950,토목 건설업,1995-08-07,18172.0
734,동일기연,032960,전자부품 제조업,1997-07-18,46907.0
735,듀오백,073190,가구 제조업,2004-02-06,89317.0
736,드림씨아이에스,223250,자연과학 및 공학 연구개발업,2020-05-22,138515.0
737,디지아이,043360,컴퓨터 및 주변장치 제조업,2001-07-20,42874.0
738,디지털대성,068930,일반 교습 학원,2003-10-17,96398.0
739,디티앤씨,187220,기타 과학기술 서비스업,2014-12-17,79068.0
740,램테크놀러지,171010,기초 화학물질 제조업,2013-11-18,409266.0
741,레드로버,060300,"영화, 비디오물, 방송프로그램 제작 및 배급업",2002-01-10,0.0
742,로고스바이오,238120,사진장비 및 광학기기 제조업,2016-11-03,128681.0
743,로보스타,090360,특수 목적용 기계 제조업,2011-10-17,143993.0
744,리드코프,012700,기타 전문 도매업,1996-01-19,267701.0
745,메디포스트,078160,기초 의약물질 및 생물학적 제제 제조업,2005-07-29,289891.0
746,바이오니아,064550,의료용품 및 기타 의약 관련제품 제조업,2005-12-29,1389728.0
747,베뉴지,019010,종합 소매업,1993-11-05,221496.0
748,베셀,177350,특수 목적용 기계 제조업,2015-06-19,272589.0
749,보라티알,250000,음·식료품 및 담배 도매업,2017-06-08,61251.0
750,부방,014470,기타 금융업,1994-02-25,371782.0
751,브리지텍,064480,소프트웨어 개발 및 공급업,2008-06-04,254319.0
752,비디아이,148140,일반 목적용 기계 제조업,2017-11-09,209520.0
753,삼진엘앤디,054090,그외 기타 제품 제조업,2004-02-06,1253682.0
754,삼천리자전거,024950,생활용품 도매업,1995-01-04,626170.0
755,삼현철강,017480,1차 철강 제조업,2001-01-09,164886.0
756,상아프론테크,089980,플라스틱제품 제조업,2011-07-21,2575155.0
757,서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업",2005-01-21,149680.0
758,서진오토모티브,122690,자동차 신품 부품 제조업,2010-05-25,33691.0
759,성우테크론,045300,전자부품 제조업,2001-12-18,28717.0
760,세운메디칼,100700,의료용품 및 기타 의약 관련제품 제조업,2008-09-30,1367126.0
761,세종텔레콤,036630,전기 통신업,2000-01-04,5882698.0
762,소프트캠프,258790,소프트웨어 개발 및 공급업,2017-04-27,251925.0
763,솔고바이오,043100,의료용 기기 제조업,2000-08-08,0.0
764,솔본,035610,회사 본부 및 경영 컨설팅 서비스업,1999-08-13,127030.0
765,수산아이앤티,050960,소프트웨어 개발 및 공급업,2016-10-11,11863.0
766,슈피겐코리아,192440,그외 기타 제품 제조업,2014-11-05,246848.0
767,스맥,099440,특수 목적용 기계 제조업,2009-05-26,788369.0
768,시공테크,020710,전문디자인업,1999-08-13,219459.0
769,시그네틱스,033170,반도체 제조업,2010-11-26,483206.0
770,신신제약,002800,의약품 제조업,2017-02-28,649686.0
771,신테카바이오,226330,소프트웨어 개발 및 공급업,2019-12-17,5194036.0
772,신한제5호스팩,323230,금융 지원 서비스업,2019-06-19,0.0
773,신한제6호스팩,333050,금융 지원 서비스업,2019-10-31,6005.0
774,실리콘웍스,108320,반도체 제조업,2010-06-08,252740.0
775,쎄노텍,222420,기타 비금속 광물제품 제조업,2015-08-06,889398.0
776,쎄미시스코,136510,특수 목적용 기계 제조업,2011-11-18,74231.0
777,쎄트렉아이,099320,"항공기,우주선 및 부품 제조업",2008-06-13,226237.0
778,씨엠에스에듀,225330,일반 교습 학원,2016-04-07,134716.0
779,씨큐브,101240,기초 화학물질 제조업,2011-11-08,99440.0
780,아리온,058220,통신 및 방송 장비 제조업,2005-08-05,0.0
781,아비코전자,036010,전자부품 제조업,2002-07-03,275772.0
782,아이엠이연이,090740,전자부품 제조업,2007-09-19,537249.0
783,아진산업,013310,자동차 신품 부품 제조업,2015-12-22,1504876.0
784,아프리카TV,067160,소프트웨어 개발 및 공급업,2003-12-19,142828.0
785,알티캐스트,085810,소프트웨어 개발 및 공급업,2013-12-06,118297.0
786,애니젠,196300,기초 의약물질 및 생물학적 제제 제조업,2016-12-07,337866.0
787,액션스퀘어,205500,소프트웨어 개발 및 공급업,2014-11-12,141272.0
788,앤디포스,238090,플라스틱제품 제조업,2016-10-12,1011851.0
789,에스앤더블류,103230,일반 목적용 기계 제조업,2009-08-05,30580.0
790,에스앤씨엔진그룹,900080,기타 금융업,2009-12-04,0.0
791,에스에프에이,056190,특수 목적용 기계 제조업,2001-12-18,203631.0
792,에스트래픽,234300,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2017-12-05,60668.0
793,에스퓨얼셀,288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-10-15,6211616.0
794,에이디칩스,054630,그외 기타 제품 제조업,2001-11-13,757300.0
795,에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업,2018-12-19,5317920.0
796,에이스침대,003800,가구 제조업,1996-05-03,4195.0
797,에이스토리,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-07-19,114471.0
798,에이치시티,072990,기타 과학기술 서비스업,2016-10-17,100028.0
799,에이텍티앤,224110,통신 및 방송 장비 제조업,2015-08-25,117578.0
800,엑셈,205100,소프트웨어 개발 및 공급업,2014-11-07,601462.0
801,엔브이에이치코리아,067570,자동차 신품 부품 제조업,2013-12-03,225138.0
802,엔텔스,069410,소프트웨어 개발 및 공급업,2007-06-20,135819.0
803,엘디티,096870,반도체 제조업,2008-05-02,105385.0
804,엘아이에스,138690,특수 목적용 기계 제조업,2011-06-02,76090.0
805,엘컴텍,037950,전자부품 제조업,2000-08-24,12270852.0
806,예스티,122640,특수 목적용 기계 제조업,2015-12-16,158838.0
807,오스테오닉,226400,의료용 기기 제조업,2018-02-22,292108.0
808,오텍,067170,자동차 재제조 부품 제조업,2003-11-14,641055.0
809,원익머트리얼즈,104830,기초 화학물질 제조업,2011-12-28,78671.0
810,원익홀딩스,030530,기타 금융업,1996-09-24,1032250.0
811,원풍,008370,플라스틱제품 제조업,1992-12-18,15651.0
812,웹젠,069080,소프트웨어 개발 및 공급업,2003-05-23,503412.0
813,위닉스,044340,가정용 기기 제조업,2000-10-24,532700.0
814,위메이드,112040,소프트웨어 개발 및 공급업,2009-12-18,203368.0
815,유비벨록스,089850,소프트웨어 개발 및 공급업,2010-06-18,167963.0
816,유비쿼스,264450,통신 및 방송 장비 제조업,2017-03-31,108839.0
817,유안타제4호스팩,313750,금융 지원 서비스업,2019-03-21,2007.0
818,유진테크,084370,특수 목적용 기계 제조업,2006-01-17,812110.0
819,이건홀딩스,039020,제재 및 목재 가공업,2000-05-04,381711.0
820,이노와이어리스,073490,통신 및 방송 장비 제조업,2005-02-04,241636.0
821,이노와이즈,086250,특수 목적용 기계 제조업,2006-11-10,0.0
822,이녹스첨단소재,272290,전자부품 제조업,2017-07-10,235713.0
823,이랜텍,054210,전자부품 제조업,2002-05-09,496575.0
824,이수앱지스,086890,의료용품 및 기타 의약 관련제품 제조업,2009-02-03,3732246.0
825,인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1999-07-30,480501.0
826,인탑스,049070,통신 및 방송 장비 제조업,2002-02-21,443545.0
827,재영솔루텍,049630,사진장비 및 광학기기 제조업,2003-01-24,728764.0
828,제낙스,065620,1차 철강 제조업,2002-06-27,0.0
829,제이티,089790,특수 목적용 기계 제조업,2006-10-27,271149.0
830,제테마,216080,의료용품 및 기타 의약 관련제품 제조업,2019-11-14,477276.0
831,지티지웰니스,219750,의료용 기기 제조업,2018-09-21,310499.0
832,진바이오텍,086060,동물용 사료 및 조제식품 제조업,2006-04-28,544693.0
833,진성티이씨,036890,특수 목적용 기계 제조업,2000-07-20,716280.0
834,캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-10-29,87750.0
835,캠시스,050110,전자부품 제조업,2001-05-17,2772497.0
836,케이비제18호스팩,323940,금융 지원 서비스업,2019-06-24,20996.0
837,케이피에프,024880,기타 금속 가공제품 제조업,1994-12-29,93320.0
838,코나아이,052400,소프트웨어 개발 및 공급업,2001-10-18,0.0
839,코드네이처,078940,전기 및 통신 공사업,2004-08-27,164159.0
840,코리아에셋투자증권,190650,기타 금융업,2019-11-20,64312.0
841,코미코,183300,특수 목적용 기계 제조업,2017-03-23,99860.0
842,코썬바이오,204990,기타 식품 제조업,2016-12-09,0.0
843,코이즈,121850,플라스틱제품 제조업,2012-09-27,135871.0
844,키이스트,054780,"영화, 비디오물, 방송프로그램 제작 및 배급업",2003-11-14,283988.0
845,탑엔지니어링,065130,특수 목적용 기계 제조업,2003-01-29,573567.0
846,태웅로직스,124560,기타 운송관련 서비스업,2019-12-10,288323.0
847,텔콘RF제약,200230,통신 및 방송 장비 제조업,2014-11-24,1255269.0
848,토비스,051360,영상 및 음향기기 제조업,2004-11-19,451271.0
849,티라유텍,322180,소프트웨어 개발 및 공급업,2019-10-31,160194.0
850,티씨케이,064760,기타 비금속 광물제품 제조업,2003-08-18,64240.0
851,파라다이스,034230,유원지 및 기타 오락관련 서비스업,2002-11-05,1075348.0
852,파멥신,208340,의약품 제조업,2018-11-21,469534.0
853,파버나인,177830,전자부품 제조업,2014-08-04,752886.0
854,파워넷,037030,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018-06-07,1401423.0
855,팍스넷,038160,기타 정보 서비스업,2016-08-01,0.0
856,프로텍,053610,특수 목적용 기계 제조업,2001-08-17,6029393.0
857,피에스케이,319660,특수 목적용 기계 제조업,2019-05-10,403660.0
858,픽셀플러스,087600,전자부품 제조업,2015-06-12,41522.0
859,필옵틱스,161580,특수 목적용 기계 제조업,2017-06-01,575526.0
860,하나금융14호스팩,332710,금융 지원 서비스업,2019-11-01,14479.0
861,한국제7호스팩,291210,금융 지원 서비스업,2018-05-11,107.0
862,한국캐피탈,023760,기타 금융업,1994-11-07,623582.0
863,한류AI센터,222810,소프트웨어 개발 및 공급업,2015-08-13,0.0
864,한일네트웍스,046110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2006-01-20,150801.0
865,헬릭스미스,084990,자연과학 및 공학 연구개발업,2005-12-29,493572.0
866,휴젤,145020,기초 의약물질 및 생물학적 제제 제조업,2015-12-24,15867.0
867,희림,037440,"건축기술, 엔지니어링 및 관련 기술 서비스업",2000-02-03,39933.0
868,단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업,2020-04-24,10997.0
869,럭스피아,092590,반도체 제조업,2015-10-30,24.0
870,바이오프로테크,199290,의료용 기기 제조업,2016-12-08,0.0
871,뿌리깊은나무들,266170,"영화, 비디오물, 방송프로그램 제작 및 배급업",2017-06-09,1104.0
872,시큐센,232830,소프트웨어 개발 및 공급업,2016-11-29,23.0
873,씨앤에스링크,245450,통신 및 방송 장비 제조업,2016-06-24,0.0
874,앙츠,267810,컴퓨터 및 통신장비 수리업,2017-04-28,0.0
875,엄지하우스,224810,실내건축 및 건축마무리 공사업,2015-10-21,65.0
876,에스앤디,260970,기타 식품 제조업,2016-12-29,2085.0
877,에스제이켐,217910,기초 화학물질 제조업,2018-04-27,396.0
878,엠에프엠코리아,251960,편조의복 제조업,2016-09-08,0.0
879,유엑스엔,337840,의료용 기기 제조업,2019-11-28,765.0
880,이십일스토어,270020,기타 비금속 광물제품 제조업,2017-09-08,0.0
881,이엔드디,101360,기타 화학제품 제조업,2013-07-01,50888.0
882,이엠티,232530,일차전지 및 축전지 제조업,2015-12-30,520.0
883,태양기계,116100,자동차 신품 부품 제조업,2013-07-01,11.0
884,티에스아이,277880,특수 목적용 기계 제조업,2017-10-30,184.0
885,한중엔시에스,107640,자동차 신품 부품 제조업,2013-12-10,0.0
886,DSR제강,069730,1차 철강 제조업,2003-01-28,157593.0
887,JW중외제약,001060,의약품 제조업,1976-06-14,553999.0
888,KPX홀딩스,092230,기초 화학물질 제조업,2006-10-12,3447.0
889,KSS해운,044450,해상 운송업,2007-10-26,133856.0
890,LF,093050,봉제의복 제조업,2006-12-01,169160.0
891,LG하우시스,108670,플라스틱제품 제조업,2009-04-20,162159.0
892,LG화학,051910,기초 화학물질 제조업,2001-04-25,990093.0
893,LIG넥스원,079550,무기 및 총포탄 제조업,2015-10-02,201383.0
894,LS,006260,기타 금융업,1977-06-30,216024.0
895,NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2008-11-28,1312527.0
896,NH투자증권,005940,금융 지원 서비스업,1975-09-30,1525070.0
897,NI스틸,008260,1차 철강 제조업,1975-06-28,340352.0
898,SH에너지화학,002360,기초 화학물질 제조업,1985-12-23,2376043.0
899,SK증권,001510,금융 지원 서비스업,1986-09-20,2366039.0
900,SK하이닉스,000660,반도체 제조업,1996-12-26,4560087.0
901,경인양행,012610,기초 화학물질 제조업,1995-10-05,1023829.0
902,경인전자,009140,전자부품 제조업,1989-06-20,3818.0
903,기신정기,092440,특수 목적용 기계 제조업,2007-10-30,31878.0
904,남영비비안,002070,봉제의복 제조업,1976-07-13,4359235.0
905,녹십자,006280,의약품 제조업,1989-08-01,143828.0
906,대교,019680,초등 교육기관,2004-02-03,202595.0
907,대동전자,008110,통신 및 방송 장비 제조업,1990-06-05,36349.0
908,대림비앤코,005750,"내화, 비내화 요업제품 제조업",1992-12-23,70007.0
909,대양금속,009190,1차 철강 제조업,1994-04-29,7854207.0
910,대창,012800,1차 비철금속 제조업,1989-12-05,2295440.0
911,동국제강,001230,1차 철강 제조업,1988-05-09,3945904.0
912,동화약품,000020,의약품 제조업,1976-03-24,1582125.0
913,두산솔루스,336370,전자부품 제조업,2019-10-18,4364188.0
914,두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019-10-18,0.0
915,디아이동일,001530,상품 중개업,1964-01-04,16237.0
916,디아이씨,092200,자동차 신품 부품 제조업,2007-10-18,371283.0
917,롯데관광개발,032350,여행사 및 기타 여행보조 서비스업,2006-06-08,664156.0
918,롯데케미칼,011170,기초 화학물질 제조업,1991-05-30,199850.0
919,맵스리얼티1,094800,신탁업 및 집합투자업,2007-04-09,171540.0
920,무학,033920,알코올음료 제조업,2010-07-20,128237.0
921,미래아이앤지,007120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1999-11-26,1887515.0
922,바다로19호,155900,운송장비 임대업,2012-06-29,4038.0
923,부산주공,005030,자동차 신품 부품 제조업,1975-12-26,191607.0
924,비케이탑스,030790,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2010-11-02,207515.0
925,비티원,101140,생활용품 도매업,2008-04-02,435747.0
926,사조씨푸드,014710,수산물 가공 및 저장 처리업,2012-06-29,171525.0
927,삼성물산,028260,기타 전문 도매업,2014-12-18,698571.0
928,삼성전자,005930,통신 및 방송 장비 제조업,1975-06-11,26375671.0
929,삼성제약,001360,의약품 제조업,1975-07-04,1444937.0
930,삼원강재,023000,자동차 신품 부품 제조업,2011-07-22,62057.0
931,삼익THK,004380,일반 목적용 기계 제조업,1989-09-26,86421.0
932,삼일제약,000520,의약품 제조업,1985-05-29,169867.0
933,삼진제약,005500,의약품 제조업,1988-06-18,157321.0
934,삼화왕관,004450,기타 금속 가공제품 제조업,1976-05-28,1279.0
935,서연,007860,기타 금융업,1989-09-09,748865.0
936,선창산업,002820,나무제품 제조업,1976-05-22,27455.0
937,성신양회,004980,"시멘트, 석회, 플라스터 및 그 제품 제조업",1976-06-30,179250.0
938,세기상사,002420,"영화, 비디오물, 방송프로그램 제작 및 배급업",1968-12-27,18962.0
939,세아특수강,019440,1차 철강 제조업,2011-06-01,19919.0
940,세우글로벌,013000,기타 전문 도매업,1989-09-05,1431050.0
941,세원정공,021820,자동차 신품 부품 제조업,1996-07-03,0.0
942,세진중공업,075580,선박 및 보트 건조업,2015-11-30,335034.0
943,세화아이엠씨,145210,특수 목적용 기계 제조업,2015-03-19,2431952.0
